"id","artKey","name","type","deck","setId","tier","description","prompt"
"portable-drawbridge","treasure.equipment.portable-drawbridge","Portable Drawbridge","item","treasure","core","2","A humorous fantasy interpretation of Portable Drawbridge.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Portable Drawbridge. A humorous fantasy interpretation of Portable Drawbridge."
"cometglass-sabre","treasure.equipment.cometglass-sabre","Cometglass Sabre","item","treasure","core","3","A humorous fantasy interpretation of Cometglass Sabre.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Cometglass Sabre. A humorous fantasy interpretation of Cometglass Sabre."
"leviathan-hide-coat","treasure.equipment.leviathan-hide-coat","Leviathan-Hide Coat","item","treasure","core","3","A humorous fantasy interpretation of Leviathan-Hide Coat.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Leviathan-Hide Coat. A humorous fantasy interpretation of Leviathan-Hide Coat."
"oracular-stilts","treasure.equipment.oracular-stilts","Oracular Stilts","item","treasure","core","3","A humorous fantasy interpretation of Oracular Stilts.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Oracular Stilts. A humorous fantasy interpretation of Oracular Stilts."
"crown-of-last-words","treasure.equipment.crown-of-last-words","Crown of Last Words","item","treasure","core","3","A humorous fantasy interpretation of Crown of Last Words.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Crown of Last Words. A humorous fantasy interpretation of Crown of Last Words."
"emergency-confetti","treasure.bonus.emergency-confetti","Emergency Confetti","temporary_bonus","treasure","core","1","A humorous fantasy interpretation of Emergency Confetti.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Emergency Confetti. A humorous fantasy interpretation of Emergency Confetti."
"bottled-applause","treasure.bonus.bottled-applause","Bottled Applause","temporary_bonus","treasure","core","1","A humorous fantasy interpretation of Bottled Applause.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Bottled Applause. A humorous fantasy interpretation of Bottled Applause."
"strategic-banana-peel","treasure.bonus.strategic-banana-peel","Strategic Banana Peel","temporary_bonus","treasure","core","1","A humorous fantasy interpretation of Strategic Banana Peel.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Strategic Banana Peel. A humorous fantasy interpretation of Strategic Banana Peel."
"heroic-snack-break","treasure.bonus.heroic-snack-break","Heroic Snack Break","temporary_bonus","treasure","core","2","A humorous fantasy interpretation of Heroic Snack Break.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Heroic Snack Break. A humorous fantasy interpretation of Heroic Snack Break."
"pocket-comet","treasure.bonus.pocket-comet","Pocket Comet","temporary_bonus","treasure","core","2","A humorous fantasy interpretation of Pocket Comet.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Pocket Comet. A humorous fantasy interpretation of Pocket Comet."
"ominous-stage-light","treasure.bonus.ominous-stage-light","Ominous Stage Light","temporary_bonus","treasure","core","2","A humorous fantasy interpretation of Ominous Stage Light.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Ominous Stage Light. A humorous fantasy interpretation of Ominous Stage Light."
"borrowed-thunder","treasure.bonus.borrowed-thunder","Borrowed Thunder","temporary_bonus","treasure","core","3","A humorous fantasy interpretation of Borrowed Thunder.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Borrowed Thunder. A humorous fantasy interpretation of Borrowed Thunder."
"emergency-drawbridge","treasure.action.emergency-drawbridge","Emergency Drawbridge","temporary_bonus","treasure","core","3","A humorous fantasy interpretation of Emergency Drawbridge.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Emergency Drawbridge. A humorous fantasy interpretation of Emergency Drawbridge."
"dramatic-entrance-music","treasure.modifier.dramatic-entrance-music","Dramatic Entrance Music","monster_modifier","treasure","core","1","A humorous fantasy interpretation of Dramatic Entrance Music.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Dramatic Entrance Music. A humorous fantasy interpretation of Dramatic Entrance Music."
"inflatable-shoulder-pads","treasure.modifier.inflatable-shoulder-pads","Inflatable Shoulder Pads","monster_modifier","treasure","core","1","A humorous fantasy interpretation of Inflatable Shoulder Pads.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Inflatable Shoulder Pads. A humorous fantasy interpretation of Inflatable Shoulder Pads."
"mandatory-monster-nap","treasure.modifier.mandatory-monster-nap","Mandatory Monster Nap","monster_modifier","treasure","core","2","A humorous fantasy interpretation of Mandatory Monster Nap.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Mandatory Monster Nap. A humorous fantasy interpretation of Mandatory Monster Nap."
"executive-monster-promotion","treasure.modifier.executive-monster-promotion","Executive Monster Promotion","monster_modifier","treasure","core","3","A humorous fantasy interpretation of Executive Monster Promotion.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Executive Monster Promotion. A humorous fantasy interpretation of Executive Monster Promotion."
"open-mic-night-invitation","door.combat.open-mic-night-invitation","Open Mic Night Invitation","add_monster","door","core","2","A humorous fantasy interpretation of Open Mic Night Invitation.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Open Mic Night Invitation. A humorous fantasy interpretation of Open Mic Night Invitation."
"bureaucratic-carbon-copy","treasure.combat.bureaucratic-carbon-copy","Bureaucratic Carbon Copy","clone_monster","door","core","3","A humorous fantasy interpretation of Bureaucratic Carbon Copy.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Bureaucratic Carbon Copy. A humorous fantasy interpretation of Bureaucratic Carbon Copy."
"door-cache","door.action.door-cache","Door Cache","utility","door","core","1","A humorous fantasy interpretation of Door Cache.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Door Cache. A humorous fantasy interpretation of Door Cache."
"treasure-rumor","door.action.treasure-rumor","Treasure Rumor","utility","door","core","1","A humorous fantasy interpretation of Treasure Rumor.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Treasure Rumor. A humorous fantasy interpretation of Treasure Rumor."
"quiet-respite","door.action.quiet-respite","Quiet Respite","utility","door","core","2","A humorous fantasy interpretation of Quiet Respite.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Quiet Respite. A humorous fantasy interpretation of Quiet Respite."
"spare-change-map","treasure.action.spare-change-map","Spare-Change Map","utility","treasure","core","1","A humorous fantasy interpretation of Spare-Change Map.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Spare-Change Map. A humorous fantasy interpretation of Spare-Change Map."
"two-pocket-plan","treasure.action.two-pocket-plan","Two-Pocket Plan","utility","treasure","core","2","A humorous fantasy interpretation of Two-Pocket Plan.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Two-Pocket Plan. A humorous fantasy interpretation of Two-Pocket Plan."
"grand-expedition-map","treasure.action.grand-expedition-map","Grand Expedition Map","utility","treasure","core","3","A humorous fantasy interpretation of Grand Expedition Map.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Grand Expedition Map. A humorous fantasy interpretation of Grand Expedition Map."
"field-commendation","treasure.action.field-commendation","Field Commendation","utility","treasure","core","2","A humorous fantasy interpretation of Field Commendation.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Field Commendation. A humorous fantasy interpretation of Field Commendation."
"unwelcome-ovation","treasure.action.unwelcome-ovation","Unwelcome Ovation","temporary_bonus","treasure","core","2","A humorous fantasy interpretation of Unwelcome Ovation.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Unwelcome Ovation. A humorous fantasy interpretation of Unwelcome Ovation."
"eager-intern","treasure.companion.eager-intern","Eager Intern","hireling","treasure","companions","1","A humorous fantasy interpretation of Eager Intern.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Eager Intern. A humorous fantasy interpretation of Eager Intern."
"lantern-scout","treasure.companion.lantern-scout","Lantern Scout","hireling","treasure","companions","1","A humorous fantasy interpretation of Lantern Scout.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Lantern Scout. A humorous fantasy interpretation of Lantern Scout."
"scrap-squire","treasure.companion.scrap-squire","Scrap Squire","hireling","treasure","companions","1","A humorous fantasy interpretation of Scrap Squire.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Scrap Squire. A humorous fantasy interpretation of Scrap Squire."
"stubborn-pony","treasure.companion.stubborn-pony","Stubborn Pony","mount","treasure","companions","1","A humorous fantasy interpretation of Stubborn Pony.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Stubborn Pony. A humorous fantasy interpretation of Stubborn Pony."
"archive-apprentice","treasure.companion.archive-apprentice","Archive Apprentice","hireling","treasure","companions","2","A humorous fantasy interpretation of Archive Apprentice.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Archive Apprentice. A humorous fantasy interpretation of Archive Apprentice."
"graveyard-guide","treasure.companion.graveyard-guide","Graveyard Guide","hireling","treasure","companions","2","A humorous fantasy interpretation of Graveyard Guide.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Graveyard Guide. A humorous fantasy interpretation of Graveyard Guide."
"clockwork-goat","treasure.companion.clockwork-goat","Clockwork Goat","mount","treasure","companions","2","A humorous fantasy interpretation of Clockwork Goat.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Clockwork Goat. A humorous fantasy interpretation of Clockwork Goat."
"mossback-elk","treasure.companion.mossback-elk","Mossback Elk","mount","treasure","companions","2","A humorous fantasy interpretation of Mossback Elk.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Mossback Elk. A humorous fantasy interpretation of Mossback Elk."
"deadline-ostrich","treasure.companion.deadline-ostrich","Deadline Ostrich","mount","treasure","companions","2","A humorous fantasy interpretation of Deadline Ostrich.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Deadline Ostrich. A humorous fantasy interpretation of Deadline Ostrich."
"veteran-retainer","treasure.companion.veteran-retainer","Veteran Retainer","hireling","treasure","companions","3","A humorous fantasy interpretation of Veteran Retainer.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Veteran Retainer. A humorous fantasy interpretation of Veteran Retainer."
"comet-stag","treasure.companion.comet-stag","Comet Stag","mount","treasure","companions","3","A humorous fantasy interpretation of Comet Stag.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Comet Stag. A humorous fantasy interpretation of Comet Stag."
"leviathan-skipper","treasure.companion.leviathan-skipper","Leviathan Skipper","hireling","treasure","companions","3","A humorous fantasy interpretation of Leviathan Skipper.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Leviathan Skipper. A humorous fantasy interpretation of Leviathan Skipper."
"sharpening-chorus","treasure.attachment.sharpening-chorus","Sharpening Chorus","attachment","treasure","arsenal","1","A humorous fantasy interpretation of Sharpening Chorus.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Sharpening Chorus. A humorous fantasy interpretation of Sharpening Chorus."
"balanced-pommel","treasure.attachment.balanced-pommel","Balanced Pommel","attachment","treasure","arsenal","1","A humorous fantasy interpretation of Balanced Pommel.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Balanced Pommel. A humorous fantasy interpretation of Balanced Pommel."
"hexproof-cap","treasure.equipment.hexproof-cap","Hexproof Cap","item","treasure","arsenal","1","A humorous fantasy interpretation of Hexproof Cap.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Hexproof Cap. A humorous fantasy interpretation of Hexproof Cap."
"beast-hunters-vest","treasure.equipment.beast-hunters-vest","Beast Hunter's Vest","item","treasure","arsenal","1","A humorous fantasy interpretation of Beast Hunter's Vest.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Beast Hunter's Vest. A humorous fantasy interpretation of Beast Hunter's Vest."
"construct-cracker","treasure.equipment.construct-cracker","Construct Cracker","item","treasure","arsenal","1","A humorous fantasy interpretation of Construct Cracker.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Construct Cracker. A humorous fantasy interpretation of Construct Cracker."
"smoke-pellet","treasure.action.smoke-pellet","Smoke Pellet","temporary_bonus","treasure","arsenal","1","A humorous fantasy interpretation of Smoke Pellet.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Smoke Pellet. A humorous fantasy interpretation of Smoke Pellet."
"moonsteel-edge","treasure.attachment.moonsteel-edge","Moonsteel Edge","attachment","treasure","arsenal","2","A humorous fantasy interpretation of Moonsteel Edge.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Moonsteel Edge. A humorous fantasy interpretation of Moonsteel Edge."
"thunder-weight","treasure.attachment.thunder-weight","Thunder Weight","attachment","treasure","arsenal","2","A humorous fantasy interpretation of Thunder Weight.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Thunder Weight. A humorous fantasy interpretation of Thunder Weight."
"undead-surveyors-goggles","treasure.equipment.undead-surveyors-goggles","Undead Surveyor's Goggles","item","treasure","arsenal","2","A humorous fantasy interpretation of Undead Surveyor's Goggles.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Undead Surveyor's Goggles. A humorous fantasy interpretation of Undead Surveyor's Goggles."
"arcane-grounding-boots","treasure.equipment.arcane-grounding-boots","Arcane Grounding Boots","item","treasure","arsenal","2","A humorous fantasy interpretation of Arcane Grounding Boots.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Arcane Grounding Boots. A humorous fantasy interpretation of Arcane Grounding Boots."
"defensive-umbrella","treasure.action.defensive-umbrella","Defensive Umbrella","temporary_bonus","treasure","arsenal","2","A humorous fantasy interpretation of Defensive Umbrella.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Defensive Umbrella. A humorous fantasy interpretation of Defensive Umbrella."
"escape-route-boots","treasure.equipment.escape-route-boots","Escape Route Boots","item","treasure","arsenal","2","A humorous fantasy interpretation of Escape Route Boots.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Escape Route Boots. A humorous fantasy interpretation of Escape Route Boots."
"comet-core","treasure.attachment.comet-core","Comet Core","attachment","treasure","arsenal","3","A humorous fantasy interpretation of Comet Core.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Comet Core. A humorous fantasy interpretation of Comet Core."
"wardens-aegis","treasure.equipment.wardens-aegis","Warden's Aegis","item","treasure","arsenal","3","A humorous fantasy interpretation of Warden's Aegis.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Warden's Aegis. A humorous fantasy interpretation of Warden's Aegis."
"last-second-ramp","treasure.action.last-second-ramp","Last-Second Ramp","temporary_bonus","treasure","arsenal","3","A humorous fantasy interpretation of Last-Second Ramp.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Last-Second Ramp. A humorous fantasy interpretation of Last-Second Ramp."
"monster-compass","treasure.equipment.monster-compass","Monster Compass","item","treasure","arsenal","3","A humorous fantasy interpretation of Monster Compass.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Fantasy item as the clear main subject, iconic shape, exaggerated humorous design. Card: Monster Compass. A humorous fantasy interpretation of Monster Compass."
"double-major","treasure.permission.double-major","Double Major","role_permission","treasure","dual_identity","1","A humorous fantasy interpretation of Double Major.","Humorous fantasy card game illustration, hand-drawn comic fantasy, expressive outlines, exaggerated shapes and facial expressions, clear silhouette, readable at small card size, one main subject, simple uncluttered background, vertical composition, centered subject, no text, no letters, no numbers, no UI, no card frame, no watermark. Humorous fantasy subject with an iconic, visually obvious action or object. Card: Double Major. A humorous fantasy interpretation of Double Major."
